[WARNING] [2022-09-19 13:16:56,122]: Timeout occured when receiving a message
[WARNING] [2022-09-19 13:17:07,186]: Timeout occured when receiving a message
[WARNING] [2022-09-19 13:17:18,199]: Timeout occured when receiving a message
[WARNING] [2022-09-19 13:18:25,704]: Timeout occured when receiving a message
[WARNING] [2022-09-19 13:19:34,197]: Timeout occured when receiving a message
[WARNING] [2022-09-19 13:20:27,988]: Timeout occured when receiving a message
[WARNING] [2022-09-19 13:21:06,758]: Timeout occured when receiving a message
[WARNING] [2022-09-19 13:23:03,545]: Timeout occured when receiving a message
[WARNING] [2022-09-20 13:51:42,289]: Timeout occured when receiving a message
[WARNING] [2022-09-20 13:54:16,590]: Timeout occured when receiving a message
[WARNING] [2022-09-20 13:58:02,686]: Timeout occured when receiving a message
[WARNING] [2022-09-20 14:01:00,021]: Timeout occured when receiving a message
[WARNING] [2022-09-20 14:04:25,829]: Timeout occured when receiving a message
[WARNING] [2022-09-20 14:05:08,492]: Timeout occured when receiving a message
[WARNING] [2022-09-20 14:06:09,006]: Timeout occured when receiving a message
[WARNING] [2022-09-20 14:07:07,950]: Timeout occured when receiving a message
[WARNING] [2022-09-20 14:07:53,828]: Timeout occured when receiving a message
[WARNING] [2022-09-20 14:11:17,765]: Timeout occured when receiving a message
[WARNING] [2022-09-30 11:42:03,529]: Timeout occured when receiving a message
[WARNING] [2022-09-30 11:49:58,213]: Timeout occured when receiving a message
[WARNING] [2022-09-30 11:51:05,407]: Timeout occured when receiving a message
[WARNING] [2022-09-30 11:51:54,132]: Timeout occured when receiving a message
[WARNING] [2022-09-30 11:52:37,409]: Timeout occured when receiving a message
[WARNING] [2022-09-30 11:53:36,331]: Timeout occured when receiving a message
[WARNING] [2022-09-30 11:55:04,834]: Timeout occured when receiving a message
[WARNING] [2022-09-30 11:56:33,928]: Timeout occured when receiving a message
[WARNING] [2022-10-03 03:43:00,662]: Timeout occured when receiving a message
[WARNING] [2022-10-03 03:57:01,774]: Timeout occured when receiving a message
[WARNING] [2022-10-03 04:08:04,264]: Timeout occured when receiving a message
[WARNING] [2022-10-03 04:12:51,142]: Timeout occured when receiving a message
[WARNING] [2022-10-03 04:14:13,395]: Timeout occured when receiving a message
[WARNING] [2022-10-03 04:15:19,654]: Timeout occured when receiving a message
[WARNING] [2022-10-03 04:15:47,528]: Timeout occured when receiving a message
[WARNING] [2022-10-03 04:17:13,905]: Timeout occured when receiving a message
[WARNING] [2022-10-03 04:19:03,344]: Timeout occured when receiving a message
[WARNING] [2022-10-03 06:12:49,476]: Error opening the serial port (/dev/ttyUSB0): [Errno 2] could not open port /dev/ttyUSB0: [Errno 2] No such file or directory: '/dev/ttyUSB0'
[WARNING] [2022-10-03 06:12:49,978]: Error opening the serial port (/dev/ttyUSB0): [Errno 2] could not open port /dev/ttyUSB0: [Errno 2] No such file or directory: '/dev/ttyUSB0'
[WARNING] [2022-10-03 06:12:50,479]: Error opening the serial port (/dev/ttyUSB0): [Errno 2] could not open port /dev/ttyUSB0: [Errno 2] No such file or directory: '/dev/ttyUSB0'
[WARNING] [2022-10-03 06:12:50,980]: Error opening the serial port (/dev/ttyUSB0): [Errno 2] could not open port /dev/ttyUSB0: [Errno 2] No such file or directory: '/dev/ttyUSB0'
[WARNING] [2022-10-03 06:12:51,481]: Error opening the serial port (/dev/ttyUSB0): [Errno 2] could not open port /dev/ttyUSB0: [Errno 2] No such file or directory: '/dev/ttyUSB0'
[WARNING] [2022-10-03 06:12:51,982]: Error opening the serial port (/dev/ttyUSB0): [Errno 2] could not open port /dev/ttyUSB0: [Errno 2] No such file or directory: '/dev/ttyUSB0'
[WARNING] [2022-10-03 06:12:52,484]: Error opening the serial port (/dev/ttyUSB0): [Errno 2] could not open port /dev/ttyUSB0: [Errno 2] No such file or directory: '/dev/ttyUSB0'
[WARNING] [2022-10-03 06:12:52,985]: Error opening the serial port (/dev/ttyUSB0): [Errno 2] could not open port /dev/ttyUSB0: [Errno 2] No such file or directory: '/dev/ttyUSB0'
[WARNING] [2022-10-03 06:12:53,486]: Error opening the serial port (/dev/ttyUSB0): [Errno 2] could not open port /dev/ttyUSB0: [Errno 2] No such file or directory: '/dev/ttyUSB0'
[WARNING] [2022-10-03 06:13:29,179]: Error opening the serial port (/dev/ttyUSB0): [Errno 2] could not open port /dev/ttyUSB0: [Errno 2] No such file or directory: '/dev/ttyUSB0'
[WARNING] [2022-10-03 06:13:29,680]: Error opening the serial port (/dev/ttyUSB0): [Errno 2] could not open port /dev/ttyUSB0: [Errno 2] No such file or directory: '/dev/ttyUSB0'
[WARNING] [2022-10-03 06:13:30,182]: Error opening the serial port (/dev/ttyUSB0): [Errno 2] could not open port /dev/ttyUSB0: [Errno 2] No such file or directory: '/dev/ttyUSB0'
[WARNING] [2022-10-03 06:13:30,683]: Error opening the serial port (/dev/ttyUSB0): [Errno 2] could not open port /dev/ttyUSB0: [Errno 2] No such file or directory: '/dev/ttyUSB0'
[WARNING] [2022-10-03 06:13:31,184]: Error opening the serial port (/dev/ttyUSB0): [Errno 2] could not open port /dev/ttyUSB0: [Errno 2] No such file or directory: '/dev/ttyUSB0'
[WARNING] [2022-10-03 06:13:31,685]: Error opening the serial port (/dev/ttyUSB0): [Errno 2] could not open port /dev/ttyUSB0: [Errno 2] No such file or directory: '/dev/ttyUSB0'
[WARNING] [2022-10-03 06:13:32,186]: Error opening the serial port (/dev/ttyUSB0): [Errno 2] could not open port /dev/ttyUSB0: [Errno 2] No such file or directory: '/dev/ttyUSB0'
[WARNING] [2022-10-03 06:13:32,687]: Error opening the serial port (/dev/ttyUSB0): [Errno 2] could not open port /dev/ttyUSB0: [Errno 2] No such file or directory: '/dev/ttyUSB0'
[WARNING] [2022-10-03 06:13:33,189]: Error opening the serial port (/dev/ttyUSB0): [Errno 2] could not open port /dev/ttyUSB0: [Errno 2] No such file or directory: '/dev/ttyUSB0'
[WARNING] [2022-10-03 06:13:33,690]: Error opening the serial port (/dev/ttyUSB0): [Errno 2] could not open port /dev/ttyUSB0: [Errno 2] No such file or directory: '/dev/ttyUSB0'
[WARNING] [2022-10-03 06:13:34,191]: Error opening the serial port (/dev/ttyUSB0): [Errno 2] could not open port /dev/ttyUSB0: [Errno 2] No such file or directory: '/dev/ttyUSB0'
[WARNING] [2022-10-03 06:13:34,692]: Error opening the serial port (/dev/ttyUSB0): [Errno 2] could not open port /dev/ttyUSB0: [Errno 2] No such file or directory: '/dev/ttyUSB0'
[WARNING] [2022-10-03 06:13:35,193]: Error opening the serial port (/dev/ttyUSB0): [Errno 2] could not open port /dev/ttyUSB0: [Errno 2] No such file or directory: '/dev/ttyUSB0'
[WARNING] [2022-10-03 06:13:35,694]: Error opening the serial port (/dev/ttyUSB0): [Errno 2] could not open port /dev/ttyUSB0: [Errno 2] No such file or directory: '/dev/ttyUSB0'
[WARNING] [2022-10-03 06:13:36,195]: Error opening the serial port (/dev/ttyUSB0): [Errno 2] could not open port /dev/ttyUSB0: [Errno 2] No such file or directory: '/dev/ttyUSB0'
[WARNING] [2022-10-03 06:13:36,697]: Error opening the serial port (/dev/ttyUSB0): [Errno 2] could not open port /dev/ttyUSB0: [Errno 2] No such file or directory: '/dev/ttyUSB0'
[WARNING] [2022-10-03 06:13:37,198]: Error opening the serial port (/dev/ttyUSB0): [Errno 2] could not open port /dev/ttyUSB0: [Errno 2] No such file or directory: '/dev/ttyUSB0'
[WARNING] [2022-10-03 06:13:37,699]: Error opening the serial port (/dev/ttyUSB0): [Errno 2] could not open port /dev/ttyUSB0: [Errno 2] No such file or directory: '/dev/ttyUSB0'
[WARNING] [2022-10-03 06:13:38,201]: Error opening the serial port (/dev/ttyUSB0): [Errno 2] could not open port /dev/ttyUSB0: [Errno 2] No such file or directory: '/dev/ttyUSB0'
[WARNING] [2022-10-03 06:13:38,702]: Error opening the serial port (/dev/ttyUSB0): [Errno 2] could not open port /dev/ttyUSB0: [Errno 2] No such file or directory: '/dev/ttyUSB0'
[WARNING] [2022-10-03 06:13:39,203]: Error opening the serial port (/dev/ttyUSB0): [Errno 2] could not open port /dev/ttyUSB0: [Errno 2] No such file or directory: '/dev/ttyUSB0'
[WARNING] [2022-10-03 06:13:39,704]: Error opening the serial port (/dev/ttyUSB0): [Errno 2] could not open port /dev/ttyUSB0: [Errno 2] No such file or directory: '/dev/ttyUSB0'
[WARNING] [2022-10-03 06:13:40,206]: Error opening the serial port (/dev/ttyUSB0): [Errno 2] could not open port /dev/ttyUSB0: [Errno 2] No such file or directory: '/dev/ttyUSB0'
[WARNING] [2022-10-03 06:13:40,707]: Error opening the serial port (/dev/ttyUSB0): [Errno 2] could not open port /dev/ttyUSB0: [Errno 2] No such file or directory: '/dev/ttyUSB0'
[WARNING] [2022-10-03 06:13:41,208]: Error opening the serial port (/dev/ttyUSB0): [Errno 2] could not open port /dev/ttyUSB0: [Errno 2] No such file or directory: '/dev/ttyUSB0'
[WARNING] [2022-10-03 06:13:41,709]: Error opening the serial port (/dev/ttyUSB0): [Errno 2] could not open port /dev/ttyUSB0: [Errno 2] No such file or directory: '/dev/ttyUSB0'
[WARNING] [2022-10-03 06:13:42,210]: Error opening the serial port (/dev/ttyUSB0): [Errno 2] could not open port /dev/ttyUSB0: [Errno 2] No such file or directory: '/dev/ttyUSB0'
