[DEBUG] [2024-09-07 17:21:38,514]: RAW message sent: bytearray(b'$M<\x00\x01\x01')
[WARNING] [2024-09-07 17:21:48,526]: Timeout occured when receiving a message
[DEBUG] [2024-09-07 17:21:49,528]: IndexError detected on state: 0
[DEBUG] [2024-09-07 17:21:49,528]: Error detected on state: -1
[DEBUG] [2024-09-07 17:21:49,529]: Nothing was received - Code 0
[DEBUG] [2024-09-07 17:21:49,529]: RAW message sent: bytearray(b'$M<\x00\x02\x02')
[WARNING] [2024-09-07 17:21:59,541]: Timeout occured when receiving a message
[DEBUG] [2024-09-07 17:22:00,543]: IndexError detected on state: 0
[DEBUG] [2024-09-07 17:22:00,543]: Error detected on state: -1
[DEBUG] [2024-09-07 17:22:00,544]: Nothing was received - Code 0
[DEBUG] [2024-09-07 17:22:00,545]: RAW message sent: bytearray(b'$M<\x00\x03\x03')
[WARNING] [2024-09-07 17:22:10,556]: Timeout occured when receiving a message
[DEBUG] [2024-09-07 17:22:11,558]: IndexError detected on state: 0
[DEBUG] [2024-09-07 17:22:11,559]: Error detected on state: -1
[DEBUG] [2024-09-07 17:22:11,559]: Nothing was received - Code 0
[DEBUG] [2024-09-07 17:22:11,560]: RAW message sent: bytearray(b'$M<\x00\x05\x05')
[WARNING] [2024-09-07 17:22:21,572]: Timeout occured when receiving a message
[DEBUG] [2024-09-07 17:22:22,574]: IndexError detected on state: 0
[DEBUG] [2024-09-07 17:22:22,574]: Error detected on state: -1
[DEBUG] [2024-09-07 17:22:22,575]: Nothing was received - Code 0
[DEBUG] [2024-09-07 17:22:22,576]: RAW message sent: bytearray(b'$M<\x00\x04\x04')
[DEBUG] [2024-09-07 17:22:29,032]: RAW message sent: bytearray(b'$M<\x00\x01\x01')
[WARNING] [2024-09-07 17:22:39,045]: Timeout occured when receiving a message
[DEBUG] [2024-09-07 17:22:40,047]: IndexError detected on state: 0
[DEBUG] [2024-09-07 17:22:40,047]: Error detected on state: -1
[DEBUG] [2024-09-07 17:22:40,047]: Nothing was received - Code 0
[DEBUG] [2024-09-07 17:22:40,048]: RAW message sent: bytearray(b'$M<\x00\x02\x02')
[WARNING] [2024-09-07 17:22:50,060]: Timeout occured when receiving a message
[DEBUG] [2024-09-07 17:22:51,061]: IndexError detected on state: 0
[DEBUG] [2024-09-07 17:22:51,062]: Error detected on state: -1
[DEBUG] [2024-09-07 17:22:51,063]: Nothing was received - Code 0
[DEBUG] [2024-09-07 17:22:51,064]: RAW message sent: bytearray(b'$M<\x00\x03\x03')
[WARNING] [2024-09-07 17:23:01,076]: Timeout occured when receiving a message
[DEBUG] [2024-09-07 17:23:02,078]: IndexError detected on state: 0
[DEBUG] [2024-09-07 17:23:02,078]: Error detected on state: -1
[DEBUG] [2024-09-07 17:23:02,079]: Nothing was received - Code 0
[DEBUG] [2024-09-07 17:23:02,080]: RAW message sent: bytearray(b'$M<\x00\x05\x05')
[WARNING] [2024-09-07 17:23:12,092]: Timeout occured when receiving a message
[DEBUG] [2024-09-07 17:23:13,094]: IndexError detected on state: 0
[DEBUG] [2024-09-07 17:23:13,094]: Error detected on state: -1
[DEBUG] [2024-09-07 17:23:13,095]: Nothing was received - Code 0
[DEBUG] [2024-09-07 17:23:13,096]: RAW message sent: bytearray(b'$M<\x00\x04\x04')
